package_name,cran,github,gh_user,justification
dplyr,TRUE,FALSE,,Data wrangling
here,TRUE,FALSE,,Easier directory movement
forcats,TRUE,FALSE,,Factor creation/manipulation
ggplot2,TRUE,FALSE,,Data visualization
gt,TRUE,FALSE,,Creating tables
knitr,TRUE,FALSE,,Markdown/Report handling
readr,TRUE,FALSE,,Read and write data files (csv)
rmarkdown,TRUE,FALSE,,Handle R Markdown Rendering
stringr,TRUE,FALSE,,String Manipulation
tibble,TRUE,,,Dplyr/tidyverse friendly dataframes
tidygeocoder,TRUE,FALSE,,Geocoding data
