year,city,state,country,purpose
1990,New York,New York,United States,leisure
1990,Brooklyn,New York,United States,leisure
1996,Kissimmee,Florida,United States,leisure
1996,Richmond,Virginia,United States,leisure
1997,Juana Diaz,Puerto Rico,United States,leisure
2000,Atlantic City,New Jersey,United States,leisure
2008,Philadelphia,Pennsylvania,United States,leisure
2010,Niagara Falls,Ontario,Canada,leisure
2011,Cleveland,Ohio,United States,leisure
2013,Mississauga,Ontario,Canada,leisure
2016,Rochester,New York,United States,leisure
2016,Toledo,Ohio,United States,leisure
2017,Isla Mujeres,Quintana Roo,Mexico,leisure
2018,Washington,District of Columbia,United States,work
2019,Las Vegas,Nevada,United States,leisure
2019,Minneapolis,Minnesota,United States,work
2019,Albany,New York,United States,work
2020,Finger Lakes,New York,United States,leisure
2021,Dayton,Ohio,United States,leisure
2021,Dallas,Texas,United States,leisure
2022,Savannah,Georgia,United States,leisure
